,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
89,kudahuvadhoo,2.67,72.89,82.62,76,92,11.52,MV,1595904209
90,bani walid,31.76,13.99,65.79,89,0,1.36,LY,1595904687
91,hualmay,-11.1,-77.61,58.78,85,73,8.59,PE,1595904416
92,mingaora,34.78,72.36,81.81,57,29,3.24,PK,1595904687
93,luderitz,-26.65,15.16,51.8,93,0,2.24,NA,1595904379
94,mataura,-46.19,168.86,48.0,83,100,2.28,NZ,1595904347
95,thompson,55.74,-97.86,59.0,77,75,5.82,CA,1595904125
96,boddam,57.47,-1.78,53.01,93,100,11.41,GB,1595904429
97,methoni,36.82,21.7,78.01,72,0,4.7,GR,1595904433
98,rikitea,-23.12,-134.97,72.5,82,95,14.09,PF,1595904303
99,saint-joseph,-21.37,55.62,68.0,82,90,4.7,RE,1595904387
100,sabang,5.89,95.32,82.4,75,100,18.86,ID,1595904687
101,kahului,20.89,-156.47,89.6,46,1,28.86,US,1595904409
102,leninskoye,47.94,132.62,81.91,70,39,3.76,RU,1595904687
103,caxito,-8.58,13.66,71.6,88,75,5.82,AO,1595904687
104,spearfish,44.49,-103.86,79.0,60,1,4.7,US,1595904442
105,jinchang,38.5,102.17,84.72,21,0,8.88,CN,1595904687
106,lata,40.16,-8.33,68.0,88,100,1.01,PT,1595904688
107,east london,-33.02,27.91,55.81,59,0,5.82,ZA,1595904389
108,whitefish,48.41,-114.34,87.8,33,1,3.36,US,1595904688
109,yulara,-25.24,130.99,62.6,33,0,14.99,AU,1595904401
110,tyukhtet,56.54,89.3,65.97,74,65,1.66,RU,1595904688
111,kaitangata,-46.28,169.85,48.0,68,100,5.99,NZ,1595904113
112,sobolevo,54.43,31.9,61.77,95,75,6.42,RU,1595904688
113,asau,46.43,26.4,59.0,87,38,4.63,RO,1595904404
114,vaini,-21.2,-175.2,71.6,83,75,14.99,TO,1595904198
115,el dorado,33.21,-92.67,75.2,100,20,3.36,US,1595904688
116,kodiak,57.79,-152.41,60.8,72,1,5.82,US,1595904242
117,new norfolk,-42.78,147.06,54.0,88,43,1.59,AU,1595904350
118,newport,51.59,-3.0,59.0,89,2,1.01,GB,1595904250
119,maceio,-9.67,-35.74,71.6,94,75,3.36,BR,1595904236
120,chardara,41.25,67.97,81.41,30,7,4.38,KZ,1595904688
121,trelew,-43.25,-65.31,40.6,68,0,17.16,AR,1595904688
122,ponta do sol,32.67,-17.1,71.6,64,20,13.87,PT,1595904366
123,biak,-0.91,122.88,81.48,72,100,9.51,ID,1595904395
124,gamba,-2.65,10.0,71.98,81,45,5.48,GA,1595904688
125,aksarka,66.56,67.8,51.93,70,100,12.35,RU,1595904688
126,vershino-darasunskiy,52.35,115.52,73.08,65,23,11.36,RU,1595904688
127,ostrovnoy,68.05,39.51,60.04,76,9,1.14,RU,1595904689
128,clyde river,70.47,-68.59,41.0,100,90,11.41,CA,1595904409
129,carbonia,39.17,8.52,77.0,83,20,2.24,IT,1595904394
130,kuminskiy,58.67,66.57,55.98,67,48,4.76,RU,1595904689
131,severo-kurilsk,50.68,156.12,55.4,81,58,17.43,RU,1595904363
132,busselton,-33.65,115.33,62.01,98,98,10.38,AU,1595904353
133,egvekinot,66.32,-179.17,50.38,68,100,6.62,RU,1595904411
134,yashan,22.2,109.94,92.26,54,17,6.76,CN,1595904689
135,yatou,37.15,122.38,77.52,73,8,5.82,CN,1595904689
136,tilichiki,60.47,166.1,66.74,53,0,10.49,RU,1595904236
137,okahandja,-21.98,16.92,53.6,30,0,4.7,NA,1595904689
138,safaga,26.73,33.94,83.8,49,0,16.06,EG,1595904689
139,hirara,24.8,125.28,86.0,79,75,11.41,JP,1595904689
140,pulandian,39.4,121.97,77.0,78,75,11.18,CN,1595904689
141,nova borova,50.69,28.63,63.84,85,11,1.23,UA,1595904689
142,lagoa,39.05,-27.98,72.9,88,0,5.68,PT,1595904365
143,provideniya,64.38,-173.3,53.6,81,40,13.42,RU,1595904381
144,husavik,66.04,-17.34,46.4,81,90,10.29,IS,1595904399
145,sinnamary,5.38,-52.95,77.99,84,69,5.44,GF,1595904391
146,ilulissat,69.22,-51.1,42.8,81,99,1.12,GL,1595904375
147,san patricio,19.22,-104.7,84.2,79,75,0.87,MX,1595904446
148,mar del plata,-38.0,-57.56,42.01,86,75,9.17,AR,1595904323
149,port alfred,-33.59,26.89,55.42,62,0,7.23,ZA,1595904352
150,krasnoturinsk,59.77,60.21,60.64,55,94,3.47,RU,1595904690
151,hilo,19.73,-155.09,82.4,61,90,10.29,US,1595904351
152,acapulco,16.86,-99.89,77.0,94,90,14.99,MX,1595904401
153,ashtian,34.52,50.0,75.0,20,0,4.43,IR,1595904690
154,pathein,16.78,94.73,86.95,67,84,6.06,MM,1595904420
155,vardo,70.37,31.11,53.6,87,0,5.82,NO,1595904690
156,bukachacha,52.98,116.92,81.01,48,92,10.76,RU,1595904690
157,tasiilaq,65.61,-37.64,39.2,93,38,6.93,GL,1595904373
158,le port,-20.94,55.29,68.0,72,90,3.36,RE,1595904690
159,victoria,22.29,114.16,93.99,55,98,11.01,HK,1595904372
160,richards bay,-28.78,32.04,57.18,83,3,6.33,ZA,1595904691
161,rock sound,24.9,-76.2,82.09,80,0,9.82,BS,1595904691
162,narsaq,60.92,-46.05,46.4,93,100,4.7,GL,1595904396
163,kavaratti,10.57,72.64,82.09,81,100,15.23,IN,1595904691
164,kasongo-lunda,-6.47,16.82,63.23,49,0,1.5,CD,1595904691
165,sola,-13.88,167.55,80.26,83,82,22.59,VU,1595904691
166,virginia beach,36.85,-75.98,84.99,70,20,3.36,US,1595903833
167,barela,23.1,80.05,80.6,78,40,3.36,IN,1595904691
168,boende,-0.22,20.87,70.86,87,3,1.59,CD,1595904691
169,payyannur,12.1,75.2,75.2,94,75,1.12,IN,1595904691
170,panjab,34.39,67.02,61.02,35,0,3.76,AF,1595904691
171,isangel,-19.55,169.27,82.4,69,75,10.29,VU,1595904417
172,cayenne,4.93,-52.33,75.2,100,88,7.74,GF,1595904326
173,at-bashi,41.17,75.81,62.82,42,3,1.79,KG,1595904691
174,mao,39.89,4.27,73.4,94,0,4.7,ES,1595904417
175,grand gaube,-20.01,57.66,66.99,81,25,4.0,MU,1595904358
176,yizheng,24.67,103.43,75.0,77,0,5.97,CN,1595904692
177,salalah,17.02,54.09,78.8,94,40,4.7,OM,1595904204
178,shihezi,44.3,86.03,77.65,35,3,3.87,CN,1595904626
179,butaritari,3.07,172.79,83.17,78,100,11.54,KI,1595904361
180,benguela,-12.58,13.41,65.66,85,2,1.16,AO,1595904692
181,nhulunbuy,-12.23,136.77,78.8,57,75,17.22,AU,1595904412
182,mahebourg,-20.41,57.7,64.4,93,75,4.7,MU,1595904692
183,cootamundra,-34.65,148.03,62.01,69,55,4.0,AU,1595904692
184,iquitos,-3.75,-73.25,71.87,96,0,1.43,PE,1595904558
185,goulburn,-34.75,149.72,57.99,82,100,1.01,AU,1595904692
186,nevers,46.92,3.33,68.0,77,90,11.41,FR,1595904692
187,axim,4.87,-2.24,74.19,87,95,10.8,GH,1595904427
188,santa isabel do rio negro,-0.41,-65.02,73.89,93,55,1.77,BR,1595904456
189,molina,-35.12,-71.28,44.6,70,0,5.82,CL,1595904693
190,salento,4.64,-75.57,56.32,80,21,3.56,CO,1595904693
191,norman wells,65.28,-126.83,66.2,59,75,11.41,CA,1595904426
192,vestmannaeyjar,63.44,-20.27,50.13,77,0,19.71,IS,1595904196
193,guerrero negro,27.98,-114.06,67.86,85,0,18.7,MX,1595904365
194,la ronge,55.1,-105.28,75.2,47,5,4.7,CA,1595904454
195,tres arroyos,-38.37,-60.28,36.57,81,0,10.04,AR,1595904693
196,sabla,12.75,4.71,78.4,78,96,10.67,NG,1595904693
197,conceicao do rio verde,-21.88,-45.09,60.31,77,59,2.37,BR,1595904693
198,lancaster,40.25,-76.25,86.0,55,1,8.05,US,1595904694
199,nabire,-3.37,135.48,84.29,71,100,5.03,ID,1595904694
200,nanortalik,60.14,-45.24,46.15,95,100,4.45,GL,1595904379
201,mabaruma,8.2,-59.78,74.97,97,2,0.67,GY,1595904694
202,chitungwiza,-18.01,31.08,44.49,93,0,7.11,ZW,1595904694
203,nicoya,10.15,-85.45,76.14,91,98,3.0,CR,1595904694
204,tazovskiy,67.47,78.7,52.81,63,86,12.57,RU,1595904694
205,krutaya gorka,55.36,73.22,68.0,52,10,4.47,RU,1595904694
206,sioux lookout,50.1,-91.92,59.0,93,90,4.7,CA,1595904228
207,bosaso,11.28,49.18,90.41,44,79,12.15,SO,1595904695
208,los llanos de aridane,28.66,-17.92,73.4,73,90,17.22,ES,1595904695
209,barrow,71.29,-156.79,39.2,80,90,24.16,US,1595904356
210,severo-yeniseyskiy,60.37,93.04,61.27,61,98,0.87,RU,1595904695
211,kununurra,-15.77,128.73,77.0,16,6,12.75,AU,1595904695
212,faanui,-16.48,-151.75,79.0,80,88,12.97,PF,1595904360
213,tateyama,34.98,139.87,81.0,94,75,25.28,JP,1595904695
214,vagay,57.94,69.02,57.61,61,5,8.52,RU,1595904695
215,vilyuysk,63.76,121.62,61.9,51,100,9.04,RU,1595904695
216,kalmunai,7.42,81.82,78.3,83,100,11.77,LK,1595904411
217,berlevag,70.86,29.09,60.46,69,0,8.72,NO,1595904208
218,keetmanshoop,-26.58,18.13,59.0,30,0,12.75,NA,1595904695
219,flin flon,54.77,-101.86,64.29,64,17,6.04,CA,1595904362
220,saskylakh,71.92,114.08,56.46,55,53,10.25,RU,1595904201
221,buzhakan,40.45,44.52,78.8,44,0,5.82,AM,1595904695
222,bilibino,68.05,166.44,59.31,42,60,9.62,RU,1595904406
223,upernavik,72.79,-56.15,44.42,86,95,4.88,GL,1595904202
224,rathenow,52.61,12.34,69.01,70,99,1.01,DE,1595904695
225,stenlille,55.54,11.59,62.6,88,98,6.93,DK,1595904695
226,saint george,37.1,-113.58,100.4,11,1,17.22,US,1595904403
227,hambantota,6.12,81.12,78.8,100,90,12.33,LK,1595904355
228,polunochnoye,60.87,60.42,56.23,74,100,3.83,RU,1595904696
229,namibe,-15.2,12.15,64.09,77,0,4.88,AO,1595904696
230,san andres,12.58,-81.7,84.2,79,75,9.17,CO,1595904604
231,georgetown,5.41,100.34,86.0,66,20,11.41,MY,1595904244
232,puerto ayora,-0.74,-90.35,66.0,98,87,1.01,EC,1595904348
233,aykhal,66.0,111.5,46.4,75,90,4.47,RU,1595904696
234,aleksandrov gay,50.15,48.57,69.01,56,2,7.16,RU,1595904444
235,pombia,45.65,8.63,69.8,88,0,4.7,IT,1595904696
236,sitka,57.05,-135.33,57.2,82,75,5.82,US,1595904362
237,cidreira,-30.18,-50.21,58.71,97,97,6.22,BR,1595904138
238,flinders,-34.58,150.86,62.01,83,99,8.01,AU,1595904362
239,bragadiru,44.37,25.98,70.0,82,0,1.12,RO,1595904696
240,pafos,34.77,32.42,69.8,73,0,6.93,CY,1595904696
241,lao cai,22.48,103.95,77.41,80,100,1.12,VN,1595904697
242,rio grande,-32.03,-52.1,52.0,96,100,5.91,BR,1595904090
243,yarmouth,41.71,-70.23,81.0,69,1,13.87,US,1595904127
244,san cristobal,7.77,-72.22,67.41,81,52,0.78,VE,1595904351
245,sechura,-5.56,-80.82,62.53,80,0,13.98,PE,1595904697
246,barentu,15.11,37.59,67.17,86,100,4.12,ER,1595904697
247,kuantan,3.81,103.33,84.2,70,20,8.05,MY,1595904697
248,taltal,-25.4,-70.48,56.68,68,0,2.82,CL,1595904458
249,northam,51.03,-4.22,59.0,87,9,13.0,GB,1595904371
250,bengkulu,-3.8,102.27,83.07,61,100,6.55,ID,1595904361
251,masterton,-40.96,175.66,55.99,69,67,3.04,NZ,1595904546
252,saldanha,-33.01,17.94,46.4,75,0,1.12,ZA,1595904210
253,longyearbyen,78.22,15.64,62.6,55,99,10.29,SJ,1595904209
254,vanimo,-2.67,141.3,86.04,61,49,7.58,PG,1595904368
255,paamiut,61.99,-49.67,46.67,84,100,3.76,GL,1595904414
256,port hardy,50.7,-127.42,64.4,72,40,13.87,CA,1595904125
257,altay,47.87,88.12,67.14,50,100,4.0,CN,1595904697
258,kirakira,-10.45,161.92,84.9,73,74,9.48,SB,1595904365
259,madingou,-4.15,13.55,69.17,80,0,3.13,CG,1595904697
260,touros,-5.2,-35.46,71.6,94,75,4.7,BR,1595904698
261,ampanihy,-24.7,44.75,55.8,93,0,5.3,MG,1595904698
262,kytmanovo,53.46,85.45,66.15,76,90,6.35,RU,1595904698
263,cochrane,51.18,-114.47,75.99,57,1,10.29,CA,1595904537
264,caceres,39.52,-6.37,71.01,68,0,1.99,ES,1595904698
265,tacoronte,28.48,-16.41,70.0,93,90,20.8,ES,1595904698
266,puerto escondido,15.85,-97.07,80.49,78,100,2.93,MX,1595904373
267,klyuchi,52.27,79.17,68.97,60,97,12.64,RU,1595904698
268,batagay,67.63,134.63,61.02,49,72,9.28,RU,1595904698
269,viru,-8.42,-78.75,63.07,70,0,2.46,PE,1595904698
270,ugoofaaru,5.67,73.0,81.72,78,52,11.92,MV,1595904399
271,donduseni,48.24,27.61,64.26,87,27,5.68,MD,1595904698
272,katsuura,35.13,140.3,82.99,94,75,25.28,JP,1595904209
273,mombaca,-5.74,-39.63,72.09,67,33,5.46,BR,1595904698
274,illapel,-31.63,-71.17,50.74,70,0,1.28,CL,1595904484
275,quatre cocos,-20.21,57.76,66.99,93,75,4.7,MU,1595904699
276,hami,42.8,93.45,87.49,22,88,14.54,CN,1595904699
277,roma,43.21,-75.46,75.2,88,1,3.36,US,1595904699
278,port-gentil,-0.72,8.78,74.89,82,11,12.77,GA,1595904378
279,lukulu,-14.37,23.24,48.45,60,0,5.59,ZM,1595904699
280,torit,4.41,32.57,67.78,88,86,1.61,SS,1595904699
281,imeni stepana razina,54.89,44.3,61.83,79,0,2.39,RU,1595904699
282,coahuayana,18.73,-103.68,75.2,83,40,11.41,MX,1595904367
283,alto longa,-5.25,-42.21,74.53,55,11,5.1,BR,1595904402
284,hamilton,39.18,-84.53,73.0,94,1,4.7,US,1595904334
285,olafsvik,64.89,-23.71,47.84,77,78,4.7,IS,1595904394
286,merauke,-8.47,140.33,79.39,78,91,15.99,ID,1595904699
287,saint-georges,12.06,-61.75,80.6,88,20,11.3,GD,1595904699
288,arraial do cabo,-22.97,-42.03,71.62,81,0,24.4,BR,1595904209
289,brigantine,39.41,-74.36,84.2,62,1,6.93,US,1595904699
290,dwarka,22.24,68.97,85.14,79,31,16.8,IN,1595904699
291,ballina,-28.87,153.57,68.0,42,7,12.75,AU,1595904699
292,deputatskiy,69.3,139.9,48.42,64,99,7.18,RU,1595904412
293,sangar,63.92,127.47,66.27,44,94,12.21,RU,1595904459
294,brits,-25.63,27.78,48.2,76,14,6.93,ZA,1595904700
295,nampula,-15.12,39.27,61.79,98,64,6.04,MZ,1595904700
296,verkhozim,52.71,45.42,61.0,53,0,4.09,RU,1595904700
297,de aar,-30.65,24.01,40.62,68,0,4.72,ZA,1595904700
298,sabha,27.04,14.43,75.47,50,0,13.76,LY,1595904700
299,cocobeach,1.0,9.58,77.0,88,40,6.93,GA,1595904700
300,mayo,38.89,-76.51,86.0,62,1,9.48,US,1595904367
301,daru,-9.08,143.21,79.27,83,66,15.14,PG,1595904700
302,bathsheba,13.22,-59.52,82.4,78,20,13.87,BB,1595904386
303,polessk,54.86,21.1,57.2,100,75,6.71,RU,1595904700
304,fortuna,40.6,-124.16,61.0,88,92,1.99,US,1595904126
305,san ignacio,17.16,-89.07,81.0,79,27,4.0,BZ,1595904608
306,claveria,18.61,121.08,87.42,67,27,6.87,PH,1595904700
307,cap malheureux,-19.98,57.61,66.99,81,21,4.0,MU,1595904207
308,kirando,-7.42,30.6,69.6,62,17,6.8,TZ,1595904700
309,tabuk,17.42,121.44,84.99,73,99,3.4,PH,1595904700
310,conceicao do araguaia,-8.26,-49.26,70.12,35,0,2.01,BR,1595904700
311,pangnirtung,66.15,-65.71,57.36,52,100,4.65,CA,1595904395
312,aswan,24.09,32.91,87.1,20,23,10.78,EG,1595904700
313,miquelon,47.1,-56.38,60.33,89,21,3.71,PM,1595904701
314,grand-lahou,5.14,-5.02,73.65,87,86,10.16,CI,1595904701
315,isabela,6.71,121.97,86.0,70,20,5.82,PH,1595904701
316,ancud,-41.87,-73.82,42.01,100,40,1.12,CL,1595904380
317,jumla,29.27,82.18,68.92,60,82,3.38,NP,1595904458
318,bukama,-9.2,25.85,60.91,48,0,3.02,CD,1595904701
319,chirongui,-12.93,45.15,71.6,83,75,17.22,YT,1595904701
320,bama,11.52,13.69,74.44,87,64,10.47,NG,1595904701
321,vostok,46.49,135.88,79.2,56,22,4.92,RU,1595904357
322,zlitan,32.47,14.57,73.6,76,0,4.5,LY,1595904701
323,faya,18.39,42.45,64.4,93,75,11.41,SA,1595904701
324,peleduy,59.63,112.74,57.87,90,100,11.01,RU,1595904701
325,klaksvik,62.23,-6.59,46.4,93,97,14.99,FO,1595904428
326,skibbereen,51.55,-9.27,53.6,87,75,13.87,IE,1595904701
327,manzhouli,49.6,117.43,75.87,58,97,17.22,CN,1595904701
328,edd,13.93,41.69,78.44,91,100,17.58,ER,1595904701
329,linjiang,41.81,126.91,79.56,79,36,1.3,CN,1595904702
330,greenwood,34.17,-82.12,77.0,85,74,4.59,US,1595904702
331,shingu,33.73,135.98,80.6,94,75,5.82,JP,1595904443
332,cheremukhovo,60.35,59.99,57.22,69,97,4.07,RU,1595904702
333,morros,-9.45,-46.3,68.54,55,0,6.67,BR,1595904702
334,mumford,5.26,-0.76,74.3,88,100,12.66,GH,1595904702
335,neuquen,-38.95,-68.06,39.2,69,0,2.24,AR,1595904630
336,kukuna,9.4,-12.67,72.09,96,100,3.22,SL,1595904702
337,coracora,-15.03,-73.78,43.59,51,0,2.68,PE,1595904702
338,swan river,52.11,-101.27,64.67,76,13,7.67,CA,1595904702
339,vada,51.97,5.67,64.99,88,90,11.41,NL,1595904556
340,quibor,9.93,-69.62,73.18,80,97,5.01,VE,1595904702
341,teya,60.38,92.63,68.81,50,85,0.89,RU,1595904451
342,taoudenni,22.68,-3.98,90.37,42,27,22.08,ML,1595904370
343,malinyi,-8.93,36.13,68.2,66,100,2.35,TZ,1595904702
344,whitehorse,60.72,-135.05,53.6,76,75,2.24,CA,1595904339
345,te anau,-45.42,167.72,47.86,74,100,0.43,NZ,1595904424
346,jibuti,11.5,42.5,84.2,66,75,2.73,DJ,1595904703
347,hasaki,35.73,140.83,84.2,74,75,13.87,JP,1595904423
348,nuevo progreso,23.17,-97.95,79.0,70,100,5.84,MX,1595904703
349,cherskiy,68.75,161.3,50.41,47,27,10.47,RU,1595904363
350,iracoubo,5.48,-53.2,77.81,83,88,3.51,GF,1595904454
351,sur,22.57,59.53,86.7,65,0,10.96,OM,1595904703
352,kudat,6.88,116.85,84.2,79,40,4.7,MY,1595904703
353,evans,33.53,-82.13,87.8,55,1,7.34,US,1595904703
354,samarai,-10.62,150.67,80.8,84,100,9.66,PG,1595904356
355,sihora,23.48,80.12,80.6,78,40,3.36,IN,1595904703
356,fairbanks,64.84,-147.72,59.0,82,90,6.93,US,1595904553
357,port blair,11.67,92.75,84.11,77,100,12.93,IN,1595904703
358,bereda,43.27,-7.54,66.0,100,99,2.01,ES,1595904703
359,waipawa,-41.41,175.52,57.2,58,67,16.11,NZ,1595904703
360,great yarmouth,52.61,1.73,54.0,97,0,4.0,GB,1595904703
361,sao gabriel da cachoeira,-0.13,-67.09,72.55,96,58,0.69,BR,1595904703
362,lavrentiya,65.58,-171.0,47.93,80,93,13.85,RU,1595904413
363,itarema,-2.92,-39.92,76.35,83,0,12.8,BR,1595904303
364,pacific grove,36.62,-121.92,62.6,77,75,6.93,US,1595904383
365,panaba,21.28,-88.27,79.5,82,12,10.09,MX,1595904703
366,salinas,36.68,-121.66,66.2,68,20,12.75,US,1595904538
367,broken hill,-31.95,141.43,53.6,62,0,17.22,AU,1595904704
368,tura,25.52,90.22,79.18,92,100,4.72,IN,1595904357
369,borogontsy,62.67,131.17,63.36,95,100,3.15,RU,1595904704
370,sao mateus do sul,-25.87,-50.38,57.58,90,33,2.82,BR,1595904704
371,dickinson,29.46,-95.05,82.99,83,75,4.7,US,1595904574
372,sovetskiy,61.36,63.58,59.43,53,38,2.64,RU,1595904705
373,puertollano,38.69,-4.11,79.0,38,0,1.01,ES,1595904694
374,alofi,-19.06,-169.92,77.0,65,40,17.22,NU,1595904368
375,lamesa,32.74,-101.95,84.2,42,40,8.05,US,1595904705
376,siderno,38.28,16.3,79.0,78,20,4.7,IT,1595904705
377,kaeo,-35.1,173.78,59.0,3,54,5.01,NZ,1595904605
378,mangrol,21.12,70.12,84.76,77,8,12.68,IN,1595904705
379,kuala terengganu,5.33,103.14,84.2,74,20,6.93,MY,1595904705
380,caborca,30.58,-111.1,93.99,30,76,4.0,MX,1595904706
381,minsk,53.9,27.57,57.2,100,90,2.24,BY,1595904706
382,hofn,64.25,-15.21,51.62,69,100,7.09,IS,1595904219
383,souillac,-20.52,57.52,64.4,93,75,4.7,MU,1595904377
384,seoul,37.57,126.98,78.8,78,90,6.6,KR,1595904174
385,sao sebastiao do paraiso,-20.92,-46.99,61.75,74,29,4.21,BR,1595904669
386,nantucket,41.28,-70.1,73.4,94,1,11.41,US,1595904154
